Weeks to Event,EventType,StatusCreatedDate,Num_of_ticket
0.0,Colloquium ,2021-11-28,10
0.0,Colloquium ,2021-12-05,0
0.0,Colloquium ,2021-12-12,0
0.0,Colloquium ,2021-12-19,0
0.0,Colloquium ,2021-12-26,0
0.0,Colloquium ,2022-01-02,0
0.0,Colloquium ,2022-01-09,0
0.0,Colloquium ,2022-01-16,0
0.0,Colloquium ,2022-01-23,0
0.0,Colloquium ,2022-01-30,38
0.0,Colloquium ,2022-02-06,0
0.0,Colloquium ,2022-02-13,0
0.0,Colloquium ,2022-02-20,0
0.0,Colloquium ,2022-02-27,42
0.0,Colloquium ,2022-03-06,0
0.0,Colloquium ,2022-03-13,0
0.0,Colloquium ,2022-03-20,216
0.0,Colloquium ,2022-03-27,14
0.0,Colloquium ,2022-04-03,2
0.0,Colloquium ,2022-04-10,0
0.0,Colloquium ,2022-04-17,0
0.0,Colloquium ,2022-04-24,0
0.0,Colloquium ,2022-05-01,0
0.0,Colloquium ,2022-05-08,0
0.0,Colloquium ,2022-05-15,0
0.0,Colloquium ,2022-05-22,0
0.0,Colloquium ,2022-05-29,0
0.0,Colloquium ,2022-06-05,10
0.0,Colloquium ,2022-06-12,42
0.0,Colloquium ,2022-06-19,8
0.0,Conference / Symposium,2021-08-01,2
0.0,Conference / Symposium,2021-08-08,0
0.0,Conference / Symposium,2021-08-15,4
0.0,Conference / Symposium,2021-08-22,10
0.0,Conference / Symposium,2021-08-29,0
0.0,Conference / Symposium,2021-09-05,20
0.0,Conference / Symposium,2021-09-12,14
0.0,Conference / Symposium,2021-09-19,0
0.0,Conference / Symposium,2021-09-26,2
0.0,Conference / Symposium,2021-10-03,38
0.0,Conference / Symposium,2021-10-10,0
0.0,Conference / Symposium,2021-10-17,10
0.0,Conference / Symposium,2021-10-24,144
0.0,Conference / Symposium,2021-10-31,146
0.0,Conference / Symposium,2021-11-07,0
0.0,Conference / Symposium,2021-11-14,6
0.0,Conference / Symposium,2021-11-21,54
0.0,Conference / Symposium,2021-11-28,86
0.0,Conference / Symposium,2021-12-05,122
0.0,Conference / Symposium,2021-12-12,0
0.0,Conference / Symposium,2021-12-19,0
0.0,Conference / Symposium,2021-12-26,0
0.0,Conference / Symposium,2022-01-02,0
0.0,Conference / Symposium,2022-01-09,0
0.0,Conference / Symposium,2022-01-16,0
0.0,Conference / Symposium,2022-01-23,0
0.0,Conference / Symposium,2022-01-30,2
0.0,Conference / Symposium,2022-02-06,0
0.0,Conference / Symposium,2022-02-13,0
0.0,Conference / Symposium,2022-02-20,2
